_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
7633051,20149,BP-29571,559,Mount Pleasant Rd,Mount Pleasant Rd,East,Penrose Rd,South,,15.0,Mount Pleasant Village,Ring,Existing,0,313830.63899999997,4840360.259,-79.387953107,43.703138131,"{u'type': u'Point', u'coordinates': (-79.3879531099, 43.7031381298)}"
7633052,20150,BP-29572,2,Rosehill Ave,Yonge St,East,Rosehill Ave,North,,12.0,Yonge & St. Clair,Ring,Existing,0,313401.804,4838500.806,-79.39330350899999,43.686405767,"{u'type': u'Point', u'coordinates': (-79.3933035141, 43.6864057728)}"
7633053,20151,BP-29573,245,Davisville Ave,Mount Pleasant Rd,West,Davisville Ave,South,,12.0,,Ring,Existing,0,313906.17600000004,4840029.234,-79.387021482,43.700157563999994,"{u'type': u'Point', u'coordinates': (-79.3870214882, 43.7001575643)}"
7633054,20152,BP-29583,1479,Yonge St,Yonge St,East,St Clair Ave E,North,,12.0,Yonge & St. Clair,Ring,Existing,0,313329.015,4838740.784,-79.394202583,43.688566718999994,"{u'type': u'Point', u'coordinates': (-79.3942025883, 43.6885667229)}"
7633055,20153,BP-29589,1519,Yonge St,Yonge St,East,Wally Crouter Walkway,North,,12.0,Yonge & St. Clair,Ring,Existing,0,313296.73,4838846.115,-79.394601406,43.689515206,"{u'type': u'Point', u'coordinates': (-79.3946014039, 43.6895152072)}"
7633056,20154,BP-29597,1392,Yonge St,Yonge St,West,Rosehill Ave,North,,12.0,Yonge & St. Clair,Ring,Existing,0,313383.372,4838511.022,-79.393531978,43.68649794,"{u'type': u'Point', u'coordinates': (-79.393531981, 43.6864979432)}"
7633057,20155,BP-29603,1867,Yonge St,Yonge St,East,Balliol St,South,,12.0,Midtown Yonge,Ring,Existing,0,313160.476,4839700.933,-79.396278313,43.697211206999995,"{u'type': u'Point', u'coordinates': (-79.3962783181, 43.6972112081)}"
7633058,20156,BP-29618,643B,Mount Pleasant Rd,Mount Pleasant Rd,East,Hillsdale Ave E,South,,15.0,Mount Pleasant Village,Ring,Existing,0,313770.109,4840567.685,-79.38870067,43.705005955,"{u'type': u'Point', u'coordinates': (-79.3887006751, 43.7050059587)}"
7633059,20157,BP-29619,641,Mount Pleasant Rd,Mount Pleasant Rd,East,Hillsdale Ave E,South,,15.0,Mount Pleasant Village,Ring,Existing,0,313775.6,4840548.966,-79.38863286,43.704837398,"{u'type': u'Point', u'coordinates': (-79.388632856, 43.7048373978)}"
7633060,20158,BP-29622,2,Glen Elm Ave,Yonge St,East,Glen Elm Ave,North,,12.0,,Ring,Existing,0,313259.958,4839055.967,-79.395054251,43.691404563,"{u'type': u'Point', u'coordinates': (-79.3950542517, 43.6914045641)}"
